"sample_list","sig_list","expected_list","fitsig_list","actual_list","diff"
"T3436","SBS1",0.520250959268491,0.520250959268491,0.48695652173913,0.033294437529361
"T3610","SBS10b",0.203893171513246,0.203893171513246,0.237142857142857,0.033249685629611
"587380","SBS5",0.484404794106923,0.484404794106923,0.517647058823529,0.033242264716606
"587278","SBS44",0.406255560995755,0.406255560995755,0.373124592302674,0.033130968693081
"TCGA-AZ-6605-01A-11D-1835-10","SBS1",0.271001523541984,0.271001523541992,0.304093567251462,0.033092043709478
"SNU-C4","SBS5",0.352165894437058,0.352165894439412,0.319081908190819,0.033083986246239
"TCGA-D5-6920-01A-11D-1924-10","SBS1",0.453889876565189,0.453889876566073,0.486842105263158,0.032952228697969
"TCGA-D5-6922-01A-11D-1924-10","SBS5",0.606266585438629,0.606266585438629,0.573333333333333,0.032933252105296
"sysucc-880T","SBS44",0.413790344943418,0.413790344943418,0.380913539967374,0.032876804976044
"TCGA-A6-2686-01A-01D-1408-10","SBS5",0.240374463506545,0.240374463506545,0.207583301417082,0.032791162089463
"TCGA-AA-3854-01A-01W-0900-09","SBS40",0.621023604295461,0.621023604296074,0.588235294117647,0.032788310177814
"TCGA-A6-6142-01A-11D-1771-10","SBS5",0.713679359278062,0.713679359278062,0.681034482758621,0.032644876519441
"T3147","SBS1",0.461189173247396,0.461189173276182,0.428571428571429,0.032617744675967
"587284","SBS15",0.505312866448728,0.505312866448728,0.53778801843318,0.0324751519844521
"C80","SBS5",0.667524857364397,0.667524857364397,0.7,0.0324751426356029
"TCGA-D5-5539-01A-01D-1650-10","SBS1",0.443410762364476,0.443410762404702,0.475862068965517,0.032451306601041
"TCGA-T9-A92H-01A-11D-A36X-10","SBS40",0.718490509526845,0.718490509526845,0.686046511627907,0.032443997898938
"T3082","SBS1",0.548565906948006,0.548565906948006,0.516129032258065,0.0324368746899411
"TCGA-CK-6748-01A-11D-1835-10","SBS1",0.39285349648505,0.39285349648542,0.425287356321839,0.032433859836789
"TCGA-AA-3982-01A-02W-0995-10","SBS40",0.589527452362256,0.589527452363477,0.621951219512195,0.032423767149939
"TCGA-AH-6549-01A-11D-1826-10","SBS1",0.221565425914058,0.221565425914058,0.253968253968254,0.032402828054196
"HDC54","SBS5",0.798612182515562,0.798612182515562,0.766233766233766,0.0323784162817959
"TCGA-CK-4951-01A-01D-1408-10","SBS30",0.199235626257361,0.199235626257361,0.231605091586464,0.032369465329103
"TCGA-AA-3502-01A-01D-1408-10","SBS5",0.482037105692373,0.482037105692373,0.51440329218107,0.0323661864886969
