"sample_list","sig_list","expected_list","fitsig_list","actual_list"
"TCGA-4R-AA8I-01A-11D-A382-10","SBS1",0.0783262580501524,0.0783262580501524,0.0829931972789116
"TCGA-4R-AA8I-01A-11D-A382-10","SBS5",0.522965126003602,0.522965126003602,0.55578231292517
"TCGA-4R-AA8I-01A-11D-A382-10","SBS6",0.377350547328776,0.377350547328776,0.361224489795918
"TCGA-CC-A5UD-01A-11D-A28X-10","SBS1",0.0222523114920501,0.0222523114920501,0.0366300366300366
"TCGA-CC-A5UD-01A-11D-A28X-10","SBS5",0.19416618079123,0.19416618079123,0.113553113553114
"TCGA-CC-A5UD-01A-11D-A28X-10","SBS22",0.679659825266602,0.679659825266602,0.648351648351648
"TCGA-CC-A5UD-01A-11D-A28X-10","SBS40",0.0995271020638634,0.0995271020638634,0.201465201465201
"TCGA-DD-A1EE-01A-11D-A12Z-10","SBS1",0.0624766372596728,0.0624766372596728,0.060431654676259
"TCGA-DD-A1EE-01A-11D-A12Z-10","SBS5",0.173638673558672,0.173638673558672,0.175539568345324
"TCGA-DD-A1EE-01A-11D-A12Z-10","SBS40",0.75776638087053,0.75776638087053,0.764028776978417
"TCGA-DD-AAC8-01A-11D-A40R-10","SBS1",0.0204417686749202,0.0204417686749202,0.0204918032786885
"TCGA-DD-AAC8-01A-11D-A40R-10","SBS5",0.175893250960552,0.175893250960552,0.163934426229508
"TCGA-DD-AAC8-01A-11D-A40R-10","SBS22",0.841552121254606,0.841552121254606,0.815573770491803
"TCGA-DD-AACP-01A-11D-A40R-10","SBS1",0.0737270318980011,0.0737270318980011,0.0777777777777778
"TCGA-DD-AACP-01A-11D-A40R-10","SBS5",0.700676063694189,0.700676063694189,0.637037037037037
"TCGA-DD-AACP-01A-11D-A40R-10","SBS16",0.224076307320099,0.224076307320099,0.285185185185185
"TCGA-DD-AACT-01A-11D-A40R-10","SBS1",0.0397922501883308,0.0397922501883309,0.0385964912280702
"TCGA-DD-AACT-01A-11D-A40R-10","SBS5",0.538449329732952,0.538449329732952,0.508771929824561
"TCGA-DD-AACT-01A-11D-A40R-10","SBS22",0.470378957703718,0.470378957703718,0.452631578947368
"TCGA-DD-AADF-01A-11D-A40R-10","SBS1",0.0471734058241258,0.0471734058278299,0.0456026058631922
"TCGA-DD-AADF-01A-11D-A40R-10","SBS5",0.207215441723872,0.207215441725158,0.0716612377850163
"TCGA-DD-AADF-01A-11D-A40R-10","SBS22",0.494731036952836,0.494731036967651,0.49185667752443
"TCGA-DD-AADF-01A-11D-A40R-10","SBS40",0.28274274032788,0.282742740329542,0.390879478827362
"TCGA-DD-AAE3-01A-11D-A40R-10","SBS1",0.0430405503746506,0.0430405503746506,0.045045045045045
"TCGA-DD-AAE3-01A-11D-A40R-10","SBS9",0.170953853905023,0.170953853905023,0.157657657657658
"TCGA-DD-AAE3-01A-11D-A40R-10","SBS16",0.84353490592737,0.84353490592737,0.797297297297297
"TCGA-WQ-A9G7-01A-11D-A36X-10","SBS1",0.134734811301669,0.134734811301669,0.0892018779342723
"TCGA-WQ-A9G7-01A-11D-A36X-10","SBS5",0.518326420108057,0.518326420108057,0.499217527386541
"TCGA-WQ-A9G7-01A-11D-A36X-10","SBS6",0.346070949333935,0.346070949333935,0.411580594679186
"BCM723T","SBS1",0.51138038237697,0.511380382384698,0.513274336283186
"BCM723T","SBS5",0.501511169262104,0.501511169262657,0.486725663716814
"BN24T","SBS1",0.49078646963439,0.49078646963439,0.489169675090253
"BN24T","SBS5",0.535044930550725,0.535044930550725,0.510830324909747
"CCC4T","SBS1",0.234560962718895,0.234560962718895,0.241935483870968
"CCC4T","SBS5",0.759022980621843,0.759022980621843,0.758064516129032
"HCC107T","SBS1",0.240156624826536,0.240156624826536,0.232987312572088
"HCC107T","SBS5",0.748058752532505,0.748058752532505,0.767012687427912
"HCC72T","SBS1",0.0304255076074909,0.0304255076074909,0.0354767184035477
"HCC72T","SBS5",0.482001189415211,0.482001189415211,0.498891352549889
"HCC72T","SBS16",0.452596663646677,0.452596663646677,0.465631929046563
"HCC76T","SBS1",0.0278886236460552,0.0278886236460552,0.030812324929972
"HCC76T","SBS5",0.64625580210333,0.64625580210333,0.624649859943978
"HCC76T","SBS16",0.335170977514583,0.335170977514583,0.34453781512605
"TCGA-CC-A7II-01A-11D-A33K-10","SBS5",0.258773374898291,0.258773374898291,0.283018867924528
"TCGA-CC-A7II-01A-11D-A33K-10","SBS24",0.616612373242893,0.616612373242893,0.608490566037736
"TCGA-CC-A7II-01A-11D-A33K-10","SBS40",0.13343152993512,0.13343152993512,0.108490566037736
"TCGA-DD-AACI-01A-11D-A40R-10","SBS5",0.621711054077009,0.621711054077009,0.624761904761905
"TCGA-DD-AACI-01A-11D-A40R-10","SBS22",0.38587970303183,0.38587970303183,0.375238095238095
"TCGA-DD-AACL-01A-11D-A40R-10","SBS5",0.115214446839343,0.115214446839343,0.1
"TCGA-DD-AACL-01A-11D-A40R-10","SBS22",0.912648867105369,0.912648867105369,0.9
"TCGA-DD-AACQ-01A-11D-A40R-10","SBS5",0.133670448680458,0.133670448680474,0.0771929824561404
"TCGA-DD-AACQ-01A-11D-A40R-10","SBS22",0.647569066600597,0.647569066601026,0.694736842105263
"TCGA-DD-AACQ-01A-11D-A40R-10","SBS40",0.235218384984422,0.235218384984453,0.228070175438596
"TCGA-DD-AAE6-01A-11D-A40R-10","SBS5",0.670195183664388,0.670195183664388,0.682926829268293
"TCGA-DD-AAE6-01A-11D-A40R-10","SBS30",0.332992682388297,0.332992682388297,0.317073170731707
