"sample_names","sig_list","expected_list","fitsig_list","actual_list"
"Case2(CHCOSK003)","SBS1","0.278521103426733","0.278521103431454","0.219858156028369"
"Case2(CHCOSK003)","SBS5","0.828974238818888","0.828974238819934","0.780141843971631"
"Case2(CHCOSK003)","SBS1","0.178052092335956","0.178052092335956","0.18"
"Case2(CHCOSK003)","SBS5","0.391061128127447","0.391061128127447","0.42"
"Case2(CHCOSK003)","SBS16","0.342023166674292","0.342023166674292","0.4"
"Case2(CHCOSK003)","SBS1","0.56450821371134","0.564508213713477","0.535279805352798"
"Case2(CHCOSK003)","SBS5","0.465625129258039","0.46562512925817","0.464720194647202"
"Case2(CHCOSK003)","SBS1","0.212972222764758","0.212972222764758","0.24468085106383"
"Case2(CHCOSK003)","SBS2","0.0772249049930851","0.0772249049930851","0.106382978723404"
"Case2(CHCOSK003)","SBS5","0.540692355094919","0.540692355094919","0.51063829787234"
"Case2(CHCOSK003)","SBS13","0.16624197465907","0.16624197465907","0.138297872340426"
"Case2(CHCOSK003)","SBS1","0.294158840971013","0.294158840989301","0.305699481865285"
"Case2(CHCOSK003)","SBS5","0.7639516309651","0.763951630968599","0.694300518134715"
"Case2(CHCOSK003)","SBS1","0.328993587444106","0.328993587444106","0.269461077844311"
"Case2(CHCOSK003)","SBS2","0.0572944440785419","0.0572944440785419","0.0598802395209581"
"Case2(CHCOSK003)","SBS5","0.500248577779289","0.500248577779289","0.592814371257485"
"Case2(CHCOSK003)","SBS13","0.0727872686287991","0.0727872686287991","0.0778443113772455"
"Case2(CHCOSK003)","SBS1","0.0953415533235531","0.0953415533235531","0.095446584938704"
"Case2(CHCOSK003)","SBS5","0.229950767337638","0.229950767337638","0.20183887915937"
"Case2(CHCOSK003)","SBS10a","0.331370203111738","0.331370203111738","0.362521891418564"
"Case2(CHCOSK003)","SBS10b","0.343742973859029","0.343742973859029","0.340192644483363"
"Case2(CHCOSK003)","SBS1","0.287381984552215","0.287381984552756","0.272727272727273"
"Case2(CHCOSK003)","SBS2","0.14188341687905","0.141883416879489","0.127272727272727"
"Case2(CHCOSK003)","SBS5","0.417909757001503","0.417909757001559","0.484848484848485"
"Case2(CHCOSK003)","SBS13","0.122126336384933","0.122126336385179","0.115151515151515"
"Case2(CHCOSK003)","SBS1","0.426049427789419","0.426049427789419","0.420943134535368"
"Case2(CHCOSK003)","SBS5","0.559496643716867","0.559496643716867","0.579056865464632"
"Case2(CHCOSK003)","SBS1","0.210777024351705","0.210777024351905","0.184210526315789"
"Case2(CHCOSK003)","SBS2","0.0882126554339539","0.0882126554340945","0.111842105263158"
"Case2(CHCOSK003)","SBS5","0.565145754242752","0.565145754242791","0.569078947368421"
"Case2(CHCOSK003)","SBS13","0.135795219314084","0.135795219314221","0.134868421052632"
"Case2(CHCOSK003)","SBS1","0.271080930337676","0.271080930337676","0.308823529411765"
"Case2(CHCOSK003)","SBS2","0.308109796113843","0.308109796113843","0.279411764705882"
"Case2(CHCOSK003)","SBS5","0.443381397746817","0.443381397746817","0.411764705882353"
"Case2(CHCOSK003)","SBS1","0.293548966459087","0.293548966459087","0.317365269461078"
"Case2(CHCOSK003)","SBS5","0.670108568242475","0.670108568242475","0.682634730538922"
"Case2(CHCOSK003)","SBS1","0.575283396085994","0.575283396120733","0.565913370998117"
"Case2(CHCOSK003)","SBS5","0.42720231827256","0.427202318274483","0.434086629001883"
"Case2(CHCOSK003)","SBS1","0.19936296435507","0.19936296435507","0.188"
"Case2(CHCOSK003)","SBS2","0.191022610726434","0.191022610726434","0.188"
"Case2(CHCOSK003)","SBS5","0.458544900418011","0.458544900418011","0.452"
"Case2(CHCOSK003)","SBS13","0.184038913518343","0.184038913518343","0.172"
"Case2(CHCOSK003)","SBS1","0.184988715659203","0.184988715659203","0.187919463087248"
"Case2(CHCOSK003)","SBS2","0.149517592015673","0.149517592015673","0.154362416107383"
"Case2(CHCOSK003)","SBS5","0.667544492583269","0.667544492583269","0.657718120805369"
"Case2(CHCOSK003)","SBS1","0.541391909584551","0.541391909584551","0.584905660377358"
"Case2(CHCOSK003)","SBS5","0.54201489105598","0.54201489105598","0.415094339622642"
"Case2(CHCOSK003)","SBS1","0.316004124857891","0.316004124879355","0.292263610315186"
"Case2(CHCOSK003)","SBS5","0.551062088604403","0.551062088607169","0.553008595988539"
"Case2(CHCOSK003)","SBS29","0.123134443134862","0.123134443136406","0.154727793696275"
"Case2(CHCOSK003)","SBS1","0.278233702956782","0.278233702956782","0.246696035242291"
"Case2(CHCOSK003)","SBS5","0.672365613303579","0.672365613303579","0.687224669603524"
"Case2(CHCOSK003)","SBS13","0.0572387161959954","0.0572387161959954","0.066079295154185"
"Case2(CHCOSK003)","SBS1","0.0642468527481957","0.0642468527481957","0.0642570281124498"
"Case2(CHCOSK003)","SBS3","0.60222560215559","0.60222560215559","0.65863453815261"
"Case2(CHCOSK003)","SBS5","0.246970316570658","0.246970316570658","0.21285140562249"
"Case2(CHCOSK003)","SBS13","0.0703329253722437","0.0703329253722437","0.0642570281124498"
"Case2(CHCOSK003)","SBS1","0.550416159882034","0.550416159882034","0.558139534883721"
"Case2(CHCOSK003)","SBS5","0.452668707648505","0.452668707648505","0.441860465116279"
"Case2(CHCOSK003)","SBS1","0.132244211305048","0.132244211305054","0.15"
"Case2(CHCOSK003)","SBS2","0.275295403341397","0.275295403341418","0.283333333333333"
"Case2(CHCOSK003)","SBS5","0.397102112098882","0.397102112098883","0.377777777777778"
"Case2(CHCOSK003)","SBS13","0.16117830292048","0.161178302920487","0.188888888888889"
"Case2(CHCOSK003)","SBS1","0.127774249701983","0.127774249701983","0.125"
"Case2(CHCOSK003)","SBS2","0.175182098698957","0.175182098698957","0.163461538461538"
"Case2(CHCOSK003)","SBS5","0.479635410542637","0.479635410542637","0.528846153846154"
"Case2(CHCOSK003)","SBS13","0.205110228857097","0.205110228857097","0.182692307692308"
"Case2(CHCOSK003)","SBS1","0.0831145201814333","0.0831145201814333","0.0760626398210291"
"Case2(CHCOSK003)","SBS2","0.293148779408229","0.293148779408229","0.279642058165548"
"Case2(CHCOSK003)","SBS5","0.315949389370796","0.315949389370796","0.337807606263982"
"Case2(CHCOSK003)","SBS13","0.307744894586793","0.307744894586793","0.306487695749441"
"Case2(CHCOSK003)","SBS1","0.208363234825606","0.208363234825606","0.25"
"Case2(CHCOSK003)","SBS2","0.152805073345951","0.152805073345951","0.135135135135135"
"Case2(CHCOSK003)","SBS5","0.476983206884902","0.476983206884902","0.527027027027027"
"Case2(CHCOSK003)","SBS13","0.0863464686911655","0.0863464686911655","0.0878378378378378"
"Case2(CHCOSK003)","SBS1","0.0783945711320694","0.0783945711320787","0.0979498861047836"
"Case2(CHCOSK003)","SBS2","0.272460485580939","0.272460485580993","0.264236902050114"
"Case2(CHCOSK003)","SBS5","0.452129895798133","0.452129895798137","0.439635535307517"
"Case2(CHCOSK003)","SBS13","0.191056259588759","0.191056259588784","0.198177676537585"
"Case2(CHCOSK003)","SBS1","0.15816243737187","0.15816243737187","0.13"
"Case2(CHCOSK003)","SBS2","0.41141033843772","0.41141033843772","0.4"
"Case2(CHCOSK003)","SBS5","0.272978578374784","0.272978578374784","0.36"
"Case2(CHCOSK003)","SBS13","0.0997013353729875","0.0997013353729875","0.11"
"Case2(CHCOSK003)","SBS1","0.03635371029528","0.03635371029528","0.0373134328358209"
"Case2(CHCOSK003)","SBS2","0.140828926500992","0.140828926500992","0.146766169154229"
"Case2(CHCOSK003)","SBS5","0.667057543900058","0.667057543900058","0.67910447761194"
"Case2(CHCOSK003)","SBS13","0.152451577469244","0.152451577469244","0.13681592039801"
"Case2(CHCOSK003)","SBS1","0.0411508291332013","0.0411508291332013","0.052863436123348"
"Case2(CHCOSK003)","SBS2","0.0817817353077551","0.0817817353077551","0.0837004405286344"
"Case2(CHCOSK003)","SBS5","0.760922567075344","0.760922567075344","0.674008810572687"
"Case2(CHCOSK003)","SBS13","0.0699832457593318","0.0699832457593318","0.0748898678414097"
"Case2(CHCOSK003)","SBS38","0.083110485210549","0.083110485210549","0.114537444933921"
"Case2(CHCOSK003)","SBS1","0.229468218734577","0.229468218751821","0.258278145695364"
"Case2(CHCOSK003)","SBS2","0.0953171345530193","0.0953171345651846","0.0860927152317881"
"Case2(CHCOSK003)","SBS5","0.605030230828072","0.605030230831396","0.549668874172185"
"Case2(CHCOSK003)","SBS13","0.121886060363005","0.121886060372881","0.105960264900662"
"Case2(CHCOSK003)","SBS1","0.107946435153583","0.107946435160152","0.107936507936508"
"Case2(CHCOSK003)","SBS2","0.300950878543648","0.300950878574116","0.33015873015873"
"Case2(CHCOSK003)","SBS5","0.346109590778439","0.34610959077998","0.33015873015873"
"Case2(CHCOSK003)","SBS13","0.254479712547861","0.254479712564427","0.231746031746032"
"Case2(CHCOSK003)","SBS1","0.29392878441323","0.293928784430976","0.349206349206349"
"Case2(CHCOSK003)","SBS2","0.107094715910632","0.107094715921361","0.103174603174603"
"Case2(CHCOSK003)","SBS5","0.605653065822614","0.605653065825299","0.547619047619048"
"Case2(CHCOSK003)","SBS1","0.12509385399074","0.12509385399074","0.135802469135802"
"Case2(CHCOSK003)","SBS2","0.208912996034534","0.208912996034534","0.253086419753086"
"Case2(CHCOSK003)","SBS5","0.563381805483821","0.563381805483821","0.475308641975309"
"Case2(CHCOSK003)","SBS13","0.120267843051365","0.120267843051365","0.135802469135802"
"Case2(CHCOSK003)","SBS1","0.235129291398023","0.235129291398023","0.222857142857143"
"Case2(CHCOSK003)","SBS2","0.205784964066167","0.205784964066167","0.16"
"Case2(CHCOSK003)","SBS5","0.48624623899753","0.48624623899753","0.542857142857143"
"Case2(CHCOSK003)","SBS13","0.0694434548200937","0.0694434548200937","0.0742857142857143"
"Case2(CHCOSK003)","SBS1","0.342187371388292","0.342187371388292","0.295302013422819"
"Case2(CHCOSK003)","SBS5","0.600437112694348","0.600437112694348","0.704697986577181"
"Case2(CHCOSK003)","SBS1","0.260900848824135","0.260900848824135","0.294871794871795"
"Case2(CHCOSK003)","SBS5","0.851096551792961","0.851096551792961","0.705128205128205"
"Case2(CHCOSK003)","SBS1","0.222979753294467","0.222979753294467","0.207920792079208"
"Case2(CHCOSK003)","SBS5","0.736662072592675","0.736662072592675","0.792079207920792"
"Case2(CHCOSK003)","SBS1","0.110653336666461","0.110653336676075","0.115384615384615"
"Case2(CHCOSK003)","SBS2","0.203433315703778","0.203433315734476","0.207692307692308"
"Case2(CHCOSK003)","SBS5","0.459079826668279","0.459079826671267","0.530769230769231"
"Case2(CHCOSK003)","SBS13","0.163991532381441","0.163991532397532","0.146153846153846"
"Case2(CHCOSK003)","SBS1","0.129901164110593","0.129901164110593","0.08125"
"Case2(CHCOSK003)","SBS2","0.0248896426995268","0.0248896426995268","0.0625"
"Case2(CHCOSK003)","SBS5","0.823535856404622","0.823535856404622","0.66875"
"Case2(CHCOSK003)","SBS15","0.0911865321533861","0.0911865321533861","0.1875"
"Case2(CHCOSK003)","SBS1","0.292223538956223","0.292223538956223","0.318627450980392"
"Case2(CHCOSK003)","SBS5","0.703340384948971","0.703340384948971","0.681372549019608"
"Case2(CHCOSK003)","SBS1","0.113156276640936","0.113156276640936","0.127906976744186"
"Case2(CHCOSK003)","SBS5","0.00268362833376266","0.00268362833376266","0.209302325581395"
"Case2(CHCOSK003)","SBS16","0.856543212528218","0.856543212528218","0.662790697674419"
"Case2(CHCOSK003)","SBS1","0.115160485710268","0.115160485712028","0.148571428571429"
"Case2(CHCOSK003)","SBS2","0.0598173808107758","0.0598173808123162","0.0628571428571429"
"Case2(CHCOSK003)","SBS5","0.661520875676036","0.661520875676773","0.668571428571429"
"Case2(CHCOSK003)","SBS13","0.1481943712255","0.148194371227896","0.12"
"Case2(CHCOSK003)","SBS1","0.595825001716721","0.595825001716721","0.590317331163548"
"Case2(CHCOSK003)","SBS5","0.252099405263305","0.252099405263305","0.409682668836452"
"Case2(CHCOSK003)","SBS1","0.0907017351187792","0.0907017351187792","0.0763888888888889"
